nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.805766209959983826e-02 9.573167562484741211e-02 5.382311344146728516e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.517863810062408447e-02 1.308382004499435425e-01 1.668549478054046631e-01 1.710487753152847290e-01 1.378276050090789795e-01 6.659328937530517578e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.303662389516830444e-02 1.474631130695343018e-01 1.940926760435104370e-01 2.079721838235855103e-01 1.731911152601242065e-01 1.717375963926315308e-01 1.679658740758895874e-01 1.568115800619125366e-01 7.662099599838256836e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.010672152042388916e-01 1.838270425796508789e-01 2.217927426099777222e-01 1.918915361166000366e-01 1.957594603300094604e-01 1.965785473585128784e-01 1.856850981712341309e-01 1.802550703287124634e-01 1.754913330078125000e-01 1.701476424932479858e-01 8.405423164367675781e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.028711050748825073e-01 1.829112172126770020e-01 2.429846227169036865e-01 2.660833001136779785e-01 2.239596247673034668e-01 2.182616293430328369e-01 2.067807614803314209e-01 2.027821987867355347e-01 1.993433386087417603e-01 1.933851391077041626e-01 1.885101050138473511e-01 1.844351887702941895e-01 1.811773031949996948e-01 8.997291326522827148e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.071089655160903931e-01 1.906732916831970215e-01 2.533943951129913330e-01 2.771891355514526367e-01 2.357577234506607056e-01 2.405839860439300537e-01 2.438384145498275757e-01 2.309299856424331665e-01 2.225886136293411255e-01 2.148108333349227905e-01 2.095087617635726929e-01 2.050606906414031982e-01 2.004406750202178955e-01 1.963871717453002930e-01 1.931025385856628418e-01 1.908115744590759277e-01 9.499061107635498047e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.084391176700592041e-01 1.947103142738342285e-01 2.611707150936126709e-01 2.878726422786712646e-01 2.459314465522766113e-01 2.519838809967041016e-01 2.567602396011352539e-01 2.462103664875030518e-01 2.431454211473464966e-01 2.404478341341018677e-01 2.335985451936721802e-01 2.268990278244018555e-01 2.207327038049697876e-01 2.156386822462081909e-01 2.112555801868438721e-01 2.072743773460388184e-01 2.038642913103103638e-01 2.011907696723937988e-01 1.994383335113525391e-01 9.941160678863525391e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.272399872541427612e-01 2.333635240793228149e-01 2.856668233871459961e-01 2.505173385143280029e-01 2.600303292274475098e-01 2.670221328735351562e-01 2.573261559009552002e-01 2.553798854351043701e-01 2.541768252849578857e-01 2.493590116500854492e-01 2.454587519168853760e-01 2.415057271718978882e-01 2.363503724336624146e-01 2.309696674346923828e-01 2.258549630641937256e-01 2.213070243597030640e-01 2.173136174678802490e-01 2.138237953186035156e-01 2.109114676713943481e-01 2.086875140666961670e-01 2.072754949331283569e-01 1.033946275711059570e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.249200552701950073e-01 2.232179641723632812e-01 2.989851236343383789e-01 3.313111960887908936e-01 2.817451953887939453e-01 2.782796323299407959e-01 2.669245302677154541e-01 2.654928267002105713e-01 2.652136683464050293e-01 2.611612975597381592e-01 2.581807374954223633e-01 2.554032206535339355e-01 2.516846358776092529e-01 2.478801608085632324e-01 2.438955157995223999e-01 2.394970059394836426e-01 2.349769473075866699e-01 2.306233942508697510e-01 2.266367077827453613e-01 2.230950444936752319e-01 2.200364321470260620e-01 2.175245881080627441e-01 2.156395167112350464e-01 2.144635319709777832e-01 1.070314645767211914e-01
