nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.796909213066101074e-01 4.611722528934478760e-01 2.592806220054626465e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.624316155910491943e-01 6.306414604187011719e-01 8.040499687194824219e-01 8.240827918052673340e-01 6.639608740806579590e-01 3.207898139953613281e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.011048078536987305e-01 7.120070457458496094e-01 9.366043210029602051e-01 1.002946496009826660e+00 8.348644375801086426e-01 8.275670409202575684e-01 8.091795444488525391e-01 7.553393840789794922e-01 3.690554499626159668e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.893583059310913086e-01 8.894461393356323242e-01 1.072031617164611816e+00 9.267694354057312012e-01 9.447265863418579102e-01 9.480099081993103027e-01 8.950218558311462402e-01 8.684976696968078613e-01 8.452962636947631836e-01 8.194183707237243652e-01 4.047762751579284668e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.007858276367187500e-01 8.894909024238586426e-01 1.179848909378051758e+00 1.289736151695251465e+00 1.084174275398254395e+00 1.055232048034667969e+00 9.987367987632751465e-01 9.785678982734680176e-01 9.612407088279724121e-01 9.319568872451782227e-01 9.080459475517272949e-01 8.881245851516723633e-01 8.722668290138244629e-01 4.331411719322204590e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.254039764404296875e-01 9.339611530303955078e-01 1.238582253456115723e+00 1.351503968238830566e+00 1.147345542907714844e+00 1.168644785881042480e+00 1.182250022888183594e+00 1.118037700653076172e+00 1.076209783554077148e+00 1.037429571151733398e+00 1.010836243629455566e+00 9.885570406913757324e-01 9.656420946121215820e-01 9.456286430358886719e-01 9.294728636741638184e-01 9.182457327842712402e-01 4.570919275283813477e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.372563600540161133e-01 9.628977775573730469e-01 1.288080930709838867e+00 1.415109038352966309e+00 1.205906987190246582e+00 1.232422232627868652e+00 1.252502441406250000e+00 1.198523879051208496e+00 1.181248068809509277e+00 1.165942549705505371e+00 1.130901575088500977e+00 1.096893429756164551e+00 1.065759181976318359e+00 1.040052533149719238e+00 1.017997026443481445e+00 9.980849623680114746e-01 9.811113476753234863e-01 9.678570628166198730e-01 9.591971635818481445e-01 4.780812859535217285e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.358833312988281250e-01 1.163436532020568848e+00 1.418926000595092773e+00 1.240561842918395996e+00 1.283527851104736328e+00 1.313571810722351074e+00 1.262354969978332520e+00 1.249422669410705566e+00 1.240281939506530762e+00 1.213966250419616699e+00 1.192441344261169434e+00 1.170944094657897949e+00 1.143959760665893555e+00 1.116200447082519531e+00 1.090020895004272461e+00 1.066840887069702148e+00 1.046575188636779785e+00 1.028956651687622070e+00 1.014322638511657715e+00 1.003191232681274414e+00 9.961444735527038574e-01 4.968608021736145020e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.341934204101562500e-01 1.130007505416870117e+00 1.507210254669189453e+00 1.661537528038024902e+00 1.407380461692810059e+00 1.384100437164306641e+00 1.322914958000183105e+00 1.311262249946594238e+00 1.305426478385925293e+00 1.281561136245727539e+00 1.263305544853210449e+00 1.246341586112976074e+00 1.225174188613891602e+00 1.203936934471130371e+00 1.182151317596435547e+00 1.158693671226501465e+00 1.134966731071472168e+00 1.112344861030578613e+00 1.091769576072692871e+00 1.073592901229858398e+00 1.057979226112365723e+00 1.045216798782348633e+00 1.035675644874572754e+00 1.029739618301391602e+00 5.138602256774902344e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.576499938964843750e-01 1.170580148696899414e+00 1.556160211563110352e+00 1.704651594161987305e+00 1.452540159225463867e+00 1.486902594566345215e+00 1.514400005340576172e+00 1.441254615783691406e+00 1.397891879081726074e+00 1.358012914657592773e+00 1.334306240081787109e+00 1.316274881362915039e+00 1.295675158500671387e+00 1.276164650917053223e+00 1.257071495056152344e+00 1.236935377120971680e+00 1.216441273689270020e+00 1.195626854896545410e+00 1.174417257308959961e+00 1.153439164161682129e+00 1.133478164672851562e+00 1.115181207656860352e+00 1.098957538604736328e+00 1.085091352462768555e+00 1.073861360549926758e+00 1.065554141998291016e+00 1.060436725616455078e+00 5.293531417846679688e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.701713204383850098e-01 1.201310634613037109e+00 1.607848286628723145e+00 1.768474459648132324e+00 1.509035110473632812e+00 1.545359849929809570e+00 1.575293064117431641e+00 1.512006282806396484e+00 1.495997309684753418e+00 1.483750104904174805e+00 1.446305990219116211e+00 1.410417795181274414e+00 1.377959489822387695e+00 1.352134704589843750e+00 1.330195903778076172e+00 1.309160709381103516e+00 1.288986563682556152e+00 1.269274115562438965e+00 1.249513268470764160e+00 1.229749083518981934e+00 1.210043191909790039e+00 1.190522909164428711e+00 1.171564817428588867e+00 1.153657793998718262e+00 1.137257456779479980e+00 1.122724771499633789e+00 1.110348343849182129e+00 1.100382685661315918e+00 1.093058943748474121e+00 1.088573336601257324e+00 5.435309410095214844e-01
