nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.982353210449218750e-02 -9.203511476516723633e-02 -5.221158266067504883e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.156236886978149414e-02 -1.250097751617431641e-01 -1.612169742584228516e-01 -1.550286412239074707e-01 -1.318586468696594238e-01 -6.459957361221313477e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.693697929382324219e-02 -1.405025720596313477e-01 -1.871683597564697266e-01 -1.848426461219787598e-01 -1.622500419616699219e-01 -1.637887954711914062e-01 -1.596222519874572754e-01 -1.511717438697814941e-01 -7.432812452316284180e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -6.927824020385742188e-02 -1.745462417602539062e-01 -1.925131082534790039e-01 -1.774022579193115234e-01 -1.845976114273071289e-01 -1.832245588302612305e-01 -1.753588318824768066e-01 -1.720659732818603516e-01 -1.684999465942382812e-01 -1.645498275756835938e-01 -8.154112100601196289e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.046365737915039062e-02 -1.740812063217163086e-01 -2.339396476745605469e-01 -2.328885793685913086e-01 -2.049103975296020508e-01 -1.989623308181762695e-01 -1.919957399368286133e-01 -1.905950903892517090e-01 -1.880990862846374512e-01 -1.838948726654052734e-01 -1.806164383888244629e-01 -1.777616143226623535e-01 -1.754453182220458984e-01 -8.728659152984619141e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.329154014587402344e-02 -1.812633275985717773e-01 -2.437469959259033203e-01 -2.435487508773803711e-01 -2.178403139114379883e-01 -2.255707979202270508e-01 -2.238258123397827148e-01 -2.132445573806762695e-01 -2.064299583435058594e-01 -2.010232210159301758e-01 -1.976881027221679688e-01 -1.946820020675659180e-01 -1.915049552917480469e-01 -1.887432932853698730e-01 -1.864848136901855469e-01 -1.848965287208557129e-01 -9.215998649597167969e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.410216331481933594e-02 -1.846530437469482422e-01 -2.507996559143066406e-01 -2.521510124206542969e-01 -2.267514467239379883e-01 -2.359653711318969727e-01 -2.359050512313842773e-01 -2.281606197357177734e-01 -2.266772985458374023e-01 -2.235994338989257812e-01 -2.178121805191040039e-01 -2.124897241592407227e-01 -2.079789638519287109e-01 -2.044520378112792969e-01 -2.014358043670654297e-01 -1.986997723579406738e-01 -1.963670253753662109e-01 -1.945376396179199219e-01 -1.933360099792480469e-01 -9.645694494247436523e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.684825897216796875e-02 -2.204337120056152344e-01 -2.453408241271972656e-01 -2.290575504302978516e-01 -2.423033714294433594e-01 -2.442216873168945312e-01 -2.376263141632080078e-01 -2.374575138092041016e-01 -2.359455823898315430e-01 -2.322195768356323242e-01 -2.293785810470581055e-01 -2.260825634002685547e-01 -2.219150066375732422e-01 -2.177376747131347656e-01 -2.139506340026855469e-01 -2.107055187225341797e-01 -2.079094648361206055e-01 -2.054913043975830078e-01 -2.034873962402343750e-01 -2.019627094268798828e-01 -2.009960412979125977e-01 -1.003316640853881836e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.508348464965820312e-02 -2.111518383026123047e-01 -2.862412929534912109e-01 -2.871320247650146484e-01 -2.550098896026611328e-01 -2.500822544097900391e-01 -2.439329624176025391e-01 -2.451345920562744141e-01 -2.448053359985351562e-01 -2.420749664306640625e-01 -2.402933835983276367e-01 -2.381998300552368164e-01 -2.353932857513427734e-01 -2.325351238250732422e-01 -2.294373512268066406e-01 -2.260273694992065430e-01 -2.225954532623291016e-01 -2.193804979324340820e-01 -2.165098190307617188e-01 -2.140050530433654785e-01 -2.118684649467468262e-01 -2.101286053657531738e-01 -2.088299393653869629e-01 -2.080221176147460938e-01 -1.038736104965209961e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.638620376586914062e-02 -2.142975330352783203e-01 -2.898399829864501953e-01 -2.911112308502197266e-01 -2.621309757232666016e-01 -2.735912799835205078e-01 -2.734076976776123047e-01 -2.623918056488037109e-01 -2.560453414916992188e-01 -2.514576911926269531e-01 -2.494962215423583984e-01 -2.477905750274658203e-01 -2.455747127532958984e-01 -2.434409856796264648e-01 -2.411675453186035156e-01 -2.386183738708496094e-01 -2.359311580657958984e-01 -2.331043481826782227e-01 -2.301619052886962891e-01 -2.272361516952514648e-01 -2.244660854339599609e-01 -2.219482660293579102e-01 -2.197325229644775391e-01 -2.178490161895751953e-01 -2.163286805152893066e-01 -2.152061462402343750e-01 -2.145151495933532715e-01 -1.071407794952392578e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.590555191040039062e-02 -2.145178318023681641e-01 -2.925310134887695312e-01 -2.951655387878417969e-01 -2.666664123535156250e-01 -2.790277004241943359e-01 -2.803776264190673828e-01 -2.726697921752929688e-01 -2.725853919982910156e-01 -2.705156803131103516e-01 -2.651045322418212891e-01 -2.602493762969970703e-01 -2.563562393188476562e-01 -2.536022663116455078e-01 -2.512855529785156250e-01 -2.489926815032958984e-01 -2.467285394668579102e-01 -2.444102764129638672e-01 -2.419813871383666992e-01 -2.394671440124511719e-01 -2.368870973587036133e-01 -2.342795133590698242e-01 -2.317214012145996094e-01 -2.292991876602172852e-01 -2.270845174789428711e-01 -2.251279950141906738e-01 -2.234662771224975586e-01 -2.221308350563049316e-01 -2.211507558822631836e-01 -2.205508947372436523e-01 -1.101744174957275391e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.979057312011718750e-02 -2.537522315979003906e-01 -2.830648422241210938e-01 -2.651166915893554688e-01 -2.815239429473876953e-01 -2.847738265991210938e-01 -2.781751155853271484e-01 -2.792267799377441406e-01 -2.787022590637207031e-01 -2.755846977233886719e-01 -2.735645771026611328e-01 -2.709655761718750000e-01 -2.672610282897949219e-01 -2.634909152984619141e-01 -2.601156234741210938e-01 -2.572710514068603516e-01 -2.547571659088134766e-01 -2.523818016052246094e-01 -2.500698566436767578e-01 -2.477639913558959961e-01 -2.454299926757812500e-01 -2.430689334869384766e-01 -2.406971454620361328e-01 -2.383475303649902344e-01 -2.360708713531494141e-01 -2.339247465133666992e-01 -2.319628000259399414e-01 -2.302286028861999512e-01 -2.287571430206298828e-01 -2.275778055191040039e-01 -2.267151474952697754e-01 -2.261888384819030762e-01 -1.130059361457824707e-01
