nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.286692619323730469e+00 -7.591100692749023438e+00 -4.304408073425292969e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.337511062622070312e+00 -1.046937561035156250e+01 -1.341156673431396484e+01 -1.283537292480468750e+01 -1.087779331207275391e+01 -5.322123050689697266e+00
nan nan nan nan nan nan nan nan nan nan nan -5.044742584228515625e+00 -1.232755279541015625e+01 -1.616206741333007812e+01 -1.575992584228515625e+01 -1.365904998779296875e+01 -1.364325809478759766e+01 -1.319904136657714844e+01 -1.244045543670654297e+01 -6.106291294097900391e+00
nan nan nan nan nan nan nan nan nan -6.529235839843750000e+00 -1.619227981567382812e+01 -1.751445007324218750e+01 -1.577585220336914062e+01 -1.606121444702148438e+01 -1.566430091857910156e+01 -1.476364898681640625e+01 -1.430337142944335938e+01 -1.387707519531250000e+01 -1.347240638732910156e+01 -6.662586212158203125e+00
nan nan nan nan nan nan -7.643844604492187500e+00 -1.843756103515625000e+01 -2.379311370849609375e+01 -2.292405700683593750e+01 -1.948841476440429688e+01 -1.833714675903320312e+01 -1.720019149780273438e+01 -1.664263916015625000e+01 -1.607241439819335938e+01 -1.542786979675292969e+01 -1.492950248718261719e+01 -1.453348541259765625e+01 -1.424692344665527344e+01 -7.071646213531494141e+00
nan nan nan -9.855194091796875000e+00 -2.347076416015625000e+01 -2.964324188232421875e+01 -2.816546630859375000e+01 -2.387573242187500000e+01 -2.348850250244140625e+01 -2.235680389404296875e+01 -2.050018310546875000e+01 -1.914554214477539062e+01 -1.804512023925781250e+01 -1.723672866821289062e+01 -1.655484962463378906e+01 -1.594592285156250000e+01 -1.545328044891357422e+01 -1.508043766021728516e+01 -1.483851146697998047e+01 -7.377074241638183594e+00
-4.000000000000000000e+01 -4.090007019042968750e+01 -4.263682556152343750e+01 -3.790530395507812500e+01 -3.091384887695312500e+01 -2.964966583251953125e+01 -2.782756042480468750e+01 -2.541138458251953125e+01 -2.392835235595703125e+01 -2.251450347900390625e+01 -2.100996398925781250e+01 -1.969970703125000000e+01 -1.859802246093750000e+01 -1.770431137084960938e+01 -1.696433067321777344e+01 -1.634768676757812500e+01 -1.585725784301757812e+01 -1.549647617340087891e+01 -1.527253532409667969e+01 -7.598139762878417969e+00
-4.000000000000000000e+01 -3.984481811523437500e+01 -3.924993896484375000e+01 -3.640487670898437500e+01 -3.262962341308593750e+01 -3.021401214599609375e+01 -2.808371734619140625e+01 -2.601389312744140625e+01 -2.429903411865234375e+01 -2.276287841796875000e+01 -2.132546234130859375e+01 -2.004530715942382812e+01 -1.894294738769531250e+01 -1.801815414428710938e+01 -1.725047683715820312e+01 -1.662323951721191406e+01 -1.613158798217773438e+01 -1.577567195892333984e+01 -1.555887603759765625e+01 -7.742949485778808594e+00
-4.000000000000000000e+01 -3.925511169433593750e+01 -3.811323547363281250e+01 -3.583462524414062500e+01 -3.298576354980468750e+01 -3.049307250976562500e+01 -2.827941131591796875e+01 -2.626142883300781250e+01 -2.449098968505859375e+01 -2.291252899169921875e+01 -2.148369598388671875e+01 -2.021310043334960938e+01 -1.911031723022460938e+01 -1.817488861083984375e+01 -1.739618682861328125e+01 -1.676320075988769531e+01 -1.627017974853515625e+01 -1.591574954986572266e+01 -1.570139694213867188e+01 -7.814782142639160156e+00
