nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.944282770156860352e-02 -1.142629981040954590e-01 -6.482017040252685547e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -6.406944990158081055e-02 -1.553027033805847168e-01 -2.002263665199279785e-01 -1.925014853477478027e-01 -1.637058258056640625e-01 -8.019745349884033203e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.090592384338378906e-02 -1.748995780944824219e-01 -2.328295707702636719e-01 -2.298110723495483398e-01 -2.016123533248901367e-01 -2.034320831298828125e-01 -1.981949210166931152e-01 -1.876639127731323242e-01 -9.226387739181518555e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.650708198547363281e-02 -2.178038358688354492e-01 -2.400211095809936523e-01 -2.209631204605102539e-01 -2.297086715698242188e-01 -2.278276681900024414e-01 -2.179032564163208008e-01 -2.136947512626647949e-01 -2.091823220252990723e-01 -2.042271494865417480e-01 -1.011940836906433105e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.852732181549072266e-02 -2.184801101684570312e-01 -2.930896282196044922e-01 -2.913614511489868164e-01 -2.559775114059448242e-01 -2.482088804244995117e-01 -2.392232418060302734e-01 -2.372139692306518555e-01 -2.338874936103820801e-01 -2.284784913063049316e-01 -2.242613434791564941e-01 -2.206124663352966309e-01 -2.176741361618041992e-01 -1.082853078842163086e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.287929534912109375e-02 -2.293794155120849609e-01 -3.076956272125244141e-01 -3.068244457244873047e-01 -2.738232612609863281e-01 -2.829202413558959961e-01 -2.802277803421020508e-01 -2.665357589721679688e-01 -2.576131820678710938e-01 -2.505069971084594727e-01 -2.460367679595947266e-01 -2.420299649238586426e-01 -2.378618121147155762e-01 -2.342596650123596191e-01 -2.313320636749267578e-01 -2.292863130569458008e-01 -1.142730116844177246e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.497427940368652344e-02 -2.362329959869384766e-01 -3.198490142822265625e-01 -3.207275867462158203e-01 -2.875630855560302734e-01 -2.983558177947998047e-01 -2.975292205810546875e-01 -2.870683670043945312e-01 -2.845399379730224609e-01 -2.800935506820678711e-01 -2.723248004913330078e-01 -2.652014493942260742e-01 -2.591546773910522461e-01 -2.543960809707641602e-01 -2.503337264060974121e-01 -2.466790080070495605e-01 -2.435833215713500977e-01 -2.411699891090393066e-01 -2.395930886268615723e-01 -1.195203065872192383e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.124093532562255859e-01 -2.846407890319824219e-01 -3.158960342407226562e-01 -2.938761711120605469e-01 -3.097066879272460938e-01 -3.111498355865478516e-01 -3.017899990081787109e-01 -3.006348609924316406e-01 -2.978682518005371094e-01 -2.923811674118041992e-01 -2.880777120590209961e-01 -2.832815647125244141e-01 -2.774682044982910156e-01 -2.717131376266479492e-01 -2.665141820907592773e-01 -2.620589733123779297e-01 -2.582300901412963867e-01 -2.549372911453247070e-01 -2.522245049476623535e-01 -2.501714825630187988e-01 -2.488754391670227051e-01 -1.242151856422424316e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.121108531951904297e-01 -2.774434089660644531e-01 -3.742709159851074219e-01 -3.739352226257324219e-01 -3.306427001953125000e-01 -3.228864669799804688e-01 -3.136684894561767578e-01 -3.139517307281494141e-01 -3.123753070831298828e-01 -3.078126907348632812e-01 -3.045251369476318359e-01 -3.009271621704101562e-01 -2.965105772018432617e-01 -2.921086549758911133e-01 -2.874869108200073242e-01 -2.825530767440795898e-01 -2.776684761047363281e-01 -2.731301784515380859e-01 -2.690956592559814453e-01 -2.655901908874511719e-01 -2.626155018806457520e-01 -2.602060437202453613e-01 -2.584159970283508301e-01 -2.573067545890808105e-01 -1.284650564193725586e-01
