nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.226 0.082 0.034 0.016 0.006 0.000
nan nan nan nan nan nan nan nan 0.252 0.095 0.046 0.029 0.028 0.044 0.325 0.150 0.074 0.037 0.016 0.000
nan nan 0.273 0.104 0.050 0.033 0.033 0.052 0.368 0.180 0.103 0.073 0.069 0.091 0.160 0.119 0.076 0.044 0.020 0.000
0.035 0.055 0.398 0.196 0.114 0.083 0.082 0.109 0.191 0.152 0.113 0.090 0.084 0.091 0.106 0.091 0.066 0.041 0.020 0.000
0.084 0.116 0.207 0.166 0.126 0.104 0.100 0.113 0.135 0.125 0.107 0.092 0.085 0.083 0.082 0.072 0.055 0.036 0.018 0.000
0.102 0.118 0.145 0.137 0.120 0.107 0.103 0.106 0.111 0.106 0.097 0.087 0.080 0.074 0.069 0.059 0.046 0.031 0.016 0.000
0.103 0.110 0.119 0.117 0.109 0.102 0.098 0.097 0.097 0.093 0.086 0.079 0.072 0.066 0.059 0.050 0.039 0.027 0.013 0.000
0.098 0.100 0.103 0.102 0.098 0.094 0.091 0.088 0.086 0.082 0.077 0.071 0.065 0.058 0.051 0.043 0.033 0.023 0.011 0.000
0.090 0.090 0.091 0.090 0.088 0.085 0.082 0.079 0.076 0.073 0.068 0.063 0.057 0.051 0.044 0.037 0.028 0.019 0.010 0.000
0.081 0.081 0.081 0.080 0.078 0.076 0.073 0.070 0.067 0.064 0.060 0.055 0.050 0.045 0.038 0.032 0.024 0.017 0.008 0.000
0.071 0.071 0.071 0.070 0.068 0.067 0.064 0.062 0.059 0.056 0.052 0.048 0.044 0.039 0.033 0.027 0.021 0.014 0.007 0.000
0.062 0.062 0.062 0.061 0.059 0.058 0.056 0.054 0.051 0.048 0.045 0.042 0.038 0.033 0.028 0.023 0.018 0.012 0.006 0.000
0.053 0.053 0.053 0.052 0.051 0.050 0.048 0.046 0.044 0.041 0.038 0.035 0.032 0.028 0.024 0.020 0.015 0.010 0.005 0.000
0.045 0.045 0.044 0.043 0.043 0.041 0.040 0.038 0.037 0.034 0.032 0.029 0.026 0.023 0.020 0.016 0.012 0.008 0.004 0.000
0.036 0.036 0.036 0.035 0.035 0.034 0.032 0.031 0.030 0.028 0.026 0.024 0.021 0.019 0.016 0.013 0.010 0.007 0.003 0.000
0.028 0.028 0.028 0.027 0.027 0.026 0.025 0.024 0.023 0.021 0.020 0.018 0.016 0.014 0.012 0.010 0.008 0.005 0.003 0.000
0.020 0.020 0.020 0.019 0.019 0.018 0.018 0.017 0.016 0.015 0.014 0.013 0.012 0.010 0.009 0.007 0.005 0.004 0.002 0.000
0.012 0.012 0.012 0.012 0.011 0.011 0.011 0.010 0.010 0.009 0.008 0.008 0.007 0.006 0.005 0.004 0.003 0.002 0.001 0.000
0.004 0.004 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.001 0.001 0.001 0.000 0.000
-0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.003 -0.003 -0.003 -0.003 -0.003 -0.002 -0.002 -0.002 -0.001 -0.001 -0.001 -0.000 0.000
-0.012 -0.012 -0.012 -0.012 -0.011 -0.011 -0.011 -0.010 -0.010 -0.009 -0.008 -0.008 -0.007 -0.006 -0.005 -0.004 -0.003 -0.002 -0.001 0.000
-0.020 -0.020 -0.020 -0.019 -0.019 -0.018 -0.018 -0.017 -0.016 -0.015 -0.014 -0.013 -0.012 -0.010 -0.009 -0.007 -0.005 -0.004 -0.002 0.000
-0.028 -0.028 -0.028 -0.027 -0.027 -0.026 -0.025 -0.024 -0.023 -0.021 -0.020 -0.018 -0.016 -0.014 -0.012 -0.010 -0.008 -0.005 -0.003 0.000
-0.036 -0.036 -0.036 -0.035 -0.035 -0.034 -0.032 -0.031 -0.030 -0.028 -0.026 -0.024 -0.021 -0.019 -0.016 -0.013 -0.010 -0.007 -0.003 0.000
-0.045 -0.045 -0.044 -0.043 -0.043 -0.041 -0.040 -0.038 -0.037 -0.034 -0.032 -0.029 -0.026 -0.023 -0.020 -0.016 -0.012 -0.008 -0.004 0.000
-0.053 -0.053 -0.053 -0.052 -0.051 -0.050 -0.048 -0.046 -0.044 -0.041 -0.038 -0.035 -0.032 -0.028 -0.024 -0.020 -0.015 -0.010 -0.005 0.000
-0.062 -0.062 -0.062 -0.061 -0.059 -0.058 -0.056 -0.054 -0.051 -0.048 -0.045 -0.042 -0.038 -0.033 -0.028 -0.023 -0.018 -0.012 -0.006 0.000
-0.071 -0.071 -0.071 -0.070 -0.068 -0.067 -0.064 -0.062 -0.059 -0.056 -0.052 -0.048 -0.044 -0.039 -0.033 -0.027 -0.021 -0.014 -0.007 0.000
-0.081 -0.081 -0.081 -0.080 -0.078 -0.076 -0.073 -0.070 -0.067 -0.064 -0.060 -0.055 -0.050 -0.045 -0.038 -0.032 -0.024 -0.017 -0.008 0.000
-0.090 -0.090 -0.091 -0.090 -0.088 -0.085 -0.082 -0.079 -0.076 -0.073 -0.068 -0.063 -0.057 -0.051 -0.044 -0.037 -0.028 -0.019 -0.010 0.000
-0.098 -0.100 -0.103 -0.102 -0.098 -0.094 -0.091 -0.088 -0.086 -0.082 -0.077 -0.071 -0.065 -0.058 -0.051 -0.043 -0.033 -0.023 -0.011 0.000
-0.103 -0.110 -0.119 -0.117 -0.109 -0.102 -0.098 -0.097 -0.097 -0.093 -0.086 -0.079 -0.072 -0.066 -0.059 -0.050 -0.039 -0.027 -0.013 0.000
-0.102 -0.118 -0.145 -0.137 -0.120 -0.107 -0.103 -0.106 -0.111 -0.106 -0.097 -0.087 -0.080 -0.074 -0.069 -0.059 -0.046 -0.031 -0.016 0.000
-0.084 -0.116 -0.207 -0.166 -0.126 -0.104 -0.100 -0.113 -0.135 -0.125 -0.107 -0.092 -0.085 -0.083 -0.082 -0.072 -0.055 -0.036 -0.018 0.000
-0.035 -0.055 -0.398 -0.196 -0.114 -0.083 -0.082 -0.109 -0.191 -0.152 -0.113 -0.090 -0.084 -0.091 -0.106 -0.091 -0.066 -0.041 -0.020 0.000
nan nan -0.273 -0.104 -0.050 -0.033 -0.033 -0.052 -0.368 -0.180 -0.103 -0.073 -0.069 -0.091 -0.160 -0.119 -0.076 -0.044 -0.020 0.000
nan nan nan nan nan nan nan nan -0.252 -0.095 -0.046 -0.029 -0.028 -0.044 -0.325 -0.150 -0.074 -0.037 -0.016 0.000
nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.226 -0.082 -0.034 -0.016 -0.006 0.000
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
