nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.380 1.215 1.000
nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.431 2.214 1.908 1.544 1.266 1.000
nan nan nan nan nan nan nan nan nan nan nan 3.709 3.456 3.092 2.648 2.304 1.965 1.622 1.305 1.000
nan nan nan nan nan nan nan nan nan 4.770 4.444 3.961 3.568 3.172 2.765 2.389 2.027 1.674 1.333 1.000
nan nan nan nan nan nan 6.669 6.287 5.747 5.097 4.601 4.122 3.684 3.262 2.852 2.459 2.080 1.712 1.354 1.000
nan nan nan 9.026 8.533 7.852 7.051 6.444 5.857 5.270 4.739 4.245 3.782 3.342 2.920 2.515 2.123 1.742 1.369 1.000
12.661 11.650 10.616 9.519 8.721 7.973 7.239 6.582 5.968 5.385 4.842 4.335 3.857 3.405 2.972 2.556 2.155 1.764 1.380 1.000
12.672 11.674 10.680 9.711 8.860 8.080 7.349 6.675 6.048 5.460 4.910 4.394 3.908 3.447 3.007 2.585 2.176 1.778 1.387 1.000
12.682 11.692 10.719 9.786 8.927 8.137 7.403 6.723 6.090 5.498 4.944 4.424 3.933 3.468 3.025 2.599 2.187 1.785 1.391 1.000
12.682 11.692 10.719 9.786 8.927 8.137 7.403 6.723 6.090 5.498 4.944 4.424 3.933 3.468 3.025 2.599 2.187 1.785 1.391 1.000
12.672 11.674 10.680 9.711 8.860 8.080 7.349 6.675 6.048 5.460 4.910 4.394 3.908 3.447 3.007 2.585 2.176 1.778 1.387 1.000
12.661 11.650 10.616 9.519 8.721 7.973 7.239 6.582 5.968 5.385 4.842 4.335 3.857 3.405 2.972 2.556 2.155 1.764 1.380 1.000
nan nan nan 9.026 8.533 7.852 7.051 6.444 5.857 5.270 4.739 4.245 3.782 3.342 2.920 2.515 2.123 1.742 1.369 1.000
nan nan nan nan nan nan 6.669 6.287 5.747 5.097 4.601 4.122 3.684 3.262 2.852 2.459 2.080 1.712 1.354 1.000
nan nan nan nan nan nan nan nan nan 4.770 4.444 3.961 3.568 3.172 2.765 2.389 2.027 1.674 1.333 1.000
nan nan nan nan nan nan nan nan nan nan nan 3.709 3.456 3.092 2.648 2.304 1.965 1.622 1.305 1.000
nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.431 2.214 1.908 1.544 1.266 1.000
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.380 1.215 1.000
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
