nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.189752221107482910e+00 1.107646226882934570e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.710578083992004395e+00 1.604259371757507324e+00 1.452820897102355957e+00 1.271858096122741699e+00 1.133186578750610352e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.320309877395629883e+00 2.202878236770629883e+00 2.030539751052856445e+00 1.816896677017211914e+00 1.649379014968872070e+00 1.482345342636108398e+00 1.311672806739807129e+00 1.153241991996765137e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.797825336456298828e+00 2.654894828796386719e+00 2.437741279602050781e+00 2.257785081863403320e+00 2.071844577789306641e+00 1.877089977264404297e+00 1.694014906883239746e+00 1.515508413314819336e+00 1.339245915412902832e+00 1.168108463287353516e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.569077491760253906e+00 3.423595666885375977e+00 3.209707736968994141e+00 2.940756082534790039e+00 2.729117393493652344e+00 2.517976045608520508e+00 2.318675756454467773e+00 2.121963500976562500e+00 1.925603866577148438e+00 1.734081983566284180e+00 1.546427607536315918e+00 1.361693859100341797e+00 1.179945826530456543e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.369566440582275391e+00 4.218091487884521484e+00 3.995004177093505859e+00 3.714559078216552734e+00 3.492002010345458984e+00 3.264771699905395508e+00 3.026373386383056641e+00 2.802843093872070312e+00 2.586369037628173828e+00 2.376979112625122070e+00 2.171729326248168945e+00 1.969279885292053223e+00 1.770281672477722168e+00 1.574426293373107910e+00 1.381155967712402344e+00 1.189981222152709961e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.193127155303955078e+00 5.039771080017089844e+00 4.811065673828125000e+00 4.521041393280029297e+00 4.289703845977783203e+00 4.052362442016601562e+00 3.802152872085571289e+00 3.565081119537353516e+00 3.331003189086914062e+00 3.097123146057128906e+00 2.869512557983398438e+00 2.647678136825561523e+00 2.431142091751098633e+00 2.218695163726806641e+00 2.009504556655883789e+00 1.803338646888732910e+00 1.599839806556701660e+00 1.398522377014160156e+00 1.198823213577270508e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.803081035614013672e+00 5.623136520385742188e+00 5.346483230590820312e+00 5.115119934082031250e+00 4.872385025024414062e+00 4.613829612731933594e+00 4.367320060729980469e+00 4.122587680816650391e+00 3.876609086990356445e+00 3.635166883468627930e+00 3.397037029266357422e+00 3.161602973937988281e+00 2.930406093597412109e+00 2.703689098358154297e+00 2.481215953826904297e+00 2.262404203414916992e+00 2.046705007553100586e+00 1.833728313446044922e+00 1.623071908950805664e+00 1.414270758628845215e+00 1.206789255142211914e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.753481388092041016e+00 6.576817989349365234e+00 6.315202713012695312e+00 5.983025550842285156e+00 5.719845294952392578e+00 5.454548835754394531e+00 5.201840877532958984e+00 4.949525356292724609e+00 4.694571495056152344e+00 4.443158626556396484e+00 4.194060325622558594e+00 3.946528673171997070e+00 3.701939821243286133e+00 3.460375547409057617e+00 3.221845388412475586e+00 2.986819267272949219e+00 2.755456447601318359e+00 2.527627944946289062e+00 2.303000688552856445e+00 2.081183195114135742e+00 1.861797690391540527e+00 1.644448637962341309e+00 1.428699374198913574e+00 1.214062929153442383e+00 1.000000000000000000e+00
