nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.203911132812500000e+02 9.210634155273437500e+02 9.203361206054687500e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.206567993164062500e+02 9.219885253906250000e+02 9.232324829101562500e+02 9.233955688476562500e+02 9.222042236328125000e+02 9.205145263671875000e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.208044433593750000e+02 9.225347900390625000e+02 9.243861083984375000e+02 9.250294799804687500e+02 9.234849853515625000e+02 9.234243164062500000e+02 9.232738647460937500e+02 9.228526611328125000e+02 9.206810302734375000e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.211973876953125000e+02 9.239555664062500000e+02 9.257462768554687500e+02 9.242944946289062500e+02 9.244625244140625000e+02 9.244935913085937500e+02 9.240053100585937500e+02 9.237714233398437500e+02 9.235726318359375000e+02 9.233572387695312500e+02 9.208192138671875000e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.212539062500000000e+02 9.239559936523437500e+02 9.269602050781250000e+02 9.283170776367187500e+02 9.258771972656250000e+02 9.255675659179687500e+02 9.249873657226562500e+02 9.247879638671875000e+02 9.246199340820312500e+02 9.243427124023437500e+02 9.241227416992187500e+02 9.239438476562500000e+02 9.238042602539062500e+02 9.209380493164062500e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.213802490234375000e+02 9.243613891601562500e+02 9.276704101562500000e+02 9.291328125000000000e+02 9.265820312500000000e+02 9.268286743164062500e+02 9.269885864257812500e+02 9.262500610351562500e+02 9.257911376953125000e+02 9.253812866210937500e+02 9.251089477539062500e+02 9.248862304687500000e+02 9.246623535156250000e+02 9.244710693359375000e+02 9.243195800781250000e+02 9.242158813476562500e+02 9.210446777343750000e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.214432373046875000e+02 9.246358642578125000e+02 9.282957763671875000e+02 9.300126953125000000e+02 9.272710571289062500e+02 9.275942993164062500e+02 9.278438110351562500e+02 9.271823120117187500e+02 9.269767456054687500e+02 9.267971191406250000e+02 9.263947143554687500e+02 9.260158691406250000e+02 9.256791992187500000e+02 9.254085693359375000e+02 9.251815795898437500e+02 9.249808959960937500e+02 9.248129272460937500e+02 9.246837158203125000e+02 9.246002807617187500e+02 9.211428222656250000e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.220217285156250000e+02 9.267679443359375000e+02 9.300667724609375000e+02 9.276949462890625000e+02 9.282372436523437500e+02 9.286273803710937500e+02 9.279677124023437500e+02 9.278052978515625000e+02 9.276914672851562500e+02 9.273685913085937500e+02 9.271095581054687500e+02 9.268555297851562500e+02 9.265432128906250000e+02 9.262294921875000000e+02 9.259407348632812500e+02 9.256907348632812500e+02 9.254766235351562500e+02 9.252937622070312500e+02 9.251442260742187500e+02 9.250319824218750000e+02 9.249615478515625000e+02 9.212343750000000000e+02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.220109863281250000e+02 9.263845825195312500e+02 9.313583984375000000e+02 9.338035278320312500e+02 9.299036254882812500e+02 9.295786743164062500e+02 9.287505493164062500e+02 9.285970458984375000e+02 9.285206909179687500e+02 9.282119750976562500e+02 9.279796752929687500e+02 9.277668457031250000e+02 9.275052490234375000e+02 9.272473144531250000e+02 9.269874267578125000e+02 9.267128295898437500e+02 9.264407348632812500e+02 9.261865844726562500e+02 9.259597778320312500e+02 9.257630004882812500e+02 9.255966186523437500e+02 9.254624023437500000e+02 9.253630981445312500e+02 9.253018188476562500e+02 9.213202514648437500e+02
