nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.232 0.383 0.215
nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.307 0.531 0.673 0.686 0.551 0.266
nan nan nan nan nan nan nan nan nan nan nan 0.357 0.626 0.812 0.856 0.705 0.692 0.673 0.626 0.305
nan nan nan nan nan nan nan nan nan 0.462 0.825 0.969 0.821 0.821 0.809 0.754 0.724 0.700 0.675 0.333
nan nan nan nan nan nan 0.541 0.935 1.195 1.250 1.018 0.960 0.886 0.849 0.818 0.782 0.753 0.730 0.713 0.354
nan nan nan 0.697 1.189 1.487 1.519 1.230 1.195 1.154 1.053 0.981 0.919 0.873 0.836 0.803 0.776 0.756 0.742 0.369
1.011 2.045 2.133 2.015 1.580 1.500 1.423 1.291 1.212 1.142 1.064 0.996 0.938 0.891 0.853 0.820 0.795 0.776 0.764 0.380
0.999 1.993 1.965 1.840 1.644 1.520 1.414 1.308 1.221 1.144 1.071 1.006 0.950 0.903 0.864 0.832 0.807 0.789 0.778 0.387
0.990 1.963 1.906 1.793 1.651 1.526 1.415 1.314 1.225 1.146 1.075 1.011 0.956 0.909 0.870 0.838 0.814 0.796 0.785 0.391
0.990 1.963 1.906 1.793 1.651 1.526 1.415 1.314 1.225 1.146 1.075 1.011 0.956 0.909 0.870 0.838 0.814 0.796 0.785 0.391
0.999 1.993 1.965 1.840 1.644 1.520 1.414 1.308 1.221 1.144 1.071 1.006 0.950 0.903 0.864 0.832 0.807 0.789 0.778 0.387
1.011 2.045 2.133 2.015 1.580 1.500 1.423 1.291 1.212 1.142 1.064 0.996 0.938 0.891 0.853 0.820 0.795 0.776 0.764 0.380
nan nan nan 0.697 1.189 1.487 1.519 1.230 1.195 1.154 1.053 0.981 0.919 0.873 0.836 0.803 0.776 0.756 0.742 0.369
nan nan nan nan nan nan 0.541 0.935 1.195 1.250 1.018 0.960 0.886 0.849 0.818 0.782 0.753 0.730 0.713 0.354
nan nan nan nan nan nan nan nan nan 0.462 0.825 0.969 0.821 0.821 0.809 0.754 0.724 0.700 0.675 0.333
nan nan nan nan nan nan nan nan nan nan nan 0.357 0.626 0.812 0.856 0.705 0.692 0.673 0.626 0.305
nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.307 0.531 0.673 0.686 0.551 0.266
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.232 0.383 0.215
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
