nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.190 -0.215
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.262 -0.335 -0.321 -0.272 -0.266
nan nan nan nan nan nan nan nan nan nan nan nan -0.308 -0.404 -0.394 -0.341 -0.341 -0.330 -0.311 -0.305
nan nan nan nan nan nan nan nan nan nan -0.405 -0.438 -0.394 -0.402 -0.392 -0.369 -0.358 -0.347 -0.337 -0.333
nan nan nan nan nan nan nan -0.461 -0.595 -0.573 -0.487 -0.458 -0.430 -0.416 -0.402 -0.386 -0.373 -0.363 -0.356 -0.354
nan nan nan nan -0.587 -0.741 -0.704 -0.597 -0.587 -0.559 -0.513 -0.479 -0.451 -0.431 -0.414 -0.399 -0.386 -0.377 -0.371 -0.369
-1.011 -1.023 -1.066 -0.948 -0.773 -0.741 -0.696 -0.635 -0.598 -0.563 -0.525 -0.492 -0.465 -0.443 -0.424 -0.409 -0.396 -0.387 -0.382 -0.380
-0.999 -0.996 -0.981 -0.910 -0.816 -0.755 -0.702 -0.650 -0.607 -0.569 -0.533 -0.501 -0.474 -0.450 -0.431 -0.416 -0.403 -0.394 -0.389 -0.387
-0.990 -0.981 -0.953 -0.896 -0.825 -0.762 -0.707 -0.657 -0.612 -0.573 -0.537 -0.505 -0.478 -0.454 -0.435 -0.419 -0.407 -0.398 -0.393 -0.391
-0.990 -0.981 -0.953 -0.896 -0.825 -0.762 -0.707 -0.657 -0.612 -0.573 -0.537 -0.505 -0.478 -0.454 -0.435 -0.419 -0.407 -0.398 -0.393 -0.391
-0.999 -0.996 -0.981 -0.910 -0.816 -0.755 -0.702 -0.650 -0.607 -0.569 -0.533 -0.501 -0.474 -0.450 -0.431 -0.416 -0.403 -0.394 -0.389 -0.387
-1.011 -1.023 -1.066 -0.948 -0.773 -0.741 -0.696 -0.635 -0.598 -0.563 -0.525 -0.492 -0.465 -0.443 -0.424 -0.409 -0.396 -0.387 -0.382 -0.380
nan nan nan nan -0.587 -0.741 -0.704 -0.597 -0.587 -0.559 -0.513 -0.479 -0.451 -0.431 -0.414 -0.399 -0.386 -0.377 -0.371 -0.369
nan nan nan nan nan nan nan -0.461 -0.595 -0.573 -0.487 -0.458 -0.430 -0.416 -0.402 -0.386 -0.373 -0.363 -0.356 -0.354
nan nan nan nan nan nan nan nan nan nan -0.405 -0.438 -0.394 -0.402 -0.392 -0.369 -0.358 -0.347 -0.337 -0.333
nan nan nan nan nan nan nan nan nan nan nan nan -0.308 -0.404 -0.394 -0.341 -0.341 -0.330 -0.311 -0.305
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.262 -0.335 -0.321 -0.272 -0.266
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.190 -0.215
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
